System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
19:08:40:531, 45951965797542,    0.108,   24.000, 2100,   7.163,   0.774,   0.215,   4.815,   0.520,   0.144, 63,  0,   0.577,   0.062,   0.017,   0.004,   0.000,   0.000,  60.000,  90.000,  45.000,   0.000,   0.000,    1,   0.000
19:08:40:641, 45952238190960,    0.217,   32.000, 2800,  12.414,   2.129,   0.591,  10.006,   1.612,   0.448, 65,  0,   0.612,   0.129,   0.036,   0.007,   0.001,   0.000,  60.000,  90.000,  45.000,   0.000,   0.000,  108,   0.000
19:08:40:755, 45952523366644,    0.331,   21.000, 2100,   2.998,   2.471,   0.686,   0.732,   1.696,   0.471, 61,  0,   0.552,   0.192,   0.053,   0.004,   0.002,   0.000,  60.000,  90.000,  45.000,   0.000,   0.000,    0,   0.000
19:08:40:871, 45952812381418,    0.447,    7.000, 2500,   6.171,   3.186,   0.885,   3.985,   2.157,   0.599, 60,  0,   0.502,   0.250,   0.070,   0.005,   0.002,   0.001,  60.000,  90.000,  45.000,   0.000,   0.000,    1,   0.000
19:08:40:986, 45953099881414,    0.562,   21.000,  900,   4.152,   3.664,   1.018,   1.858,   2.371,   0.659, 60,  0,   0.558,   0.315,   0.087,   0.005,   0.003,   0.001,  60.000,  90.000,  45.000,   0.000,   0.000,   12,   0.000
19:08:41:110, 45953410426666,    0.687,   11.000,  900,   2.443,   3.968,   1.102,   0.208,   2.397,   0.666, 59,  0,   0.487,   0.375,   0.104,   0.060,   0.010,   0.003,  60.000,  90.000,  45.000,   0.000,   0.000,   16,   1.508
19:08:41:221, 45953686940376,    0.798,   15.000,  900,   4.778,   4.497,   1.249,   2.601,   2.685,   0.746, 59,  0,   0.525,   0.433,   0.120,   0.032,   0.014,   0.004,  60.000,  90.000,  45.000,   0.000,   0.000,   26,   0.000
19:08:41:359, 45954030954090,    0.935,   25.000, 2800,   6.874,   5.445,   1.512,   4.675,   3.330,   0.925, 64,  0,   0.570,   0.512,   0.142,   0.073,   0.024,   0.007,  60.000,  90.000,  45.000,   0.000,   0.000,    1,   0.000
19:08:41:463, 45954290786404,    1.040,   51.000, 2800,  17.094,   7.224,   2.007,  14.867,   4.877,   1.355, 67,  0,   0.864,   0.602,   0.167,   0.005,   0.024,   0.007,  60.000,  90.000,  45.000,   0.000,   0.000,    0,   0.000
19:08:41:464, 45954294140376,    1.041,   34.000, 2800,   9.811,   7.237,   2.010,  10.129,   4.891,   1.359, 67,  0,   0.681,   0.603,   0.167,   0.227,   0.025,   0.007,  60.000,  90.000,  45.000,   0.000,   0.000,  107,   0.000

Total Elapsed Time (sec) = 1.040852
Measured RDTSC Frequency (GHz) = 2.496

Cumulative Processor Energy_0 (Joules) = 7.237366
Cumulative Processor Energy_0 (mWh) = 2.010379
Average Processor Power_0 (Watt) = 6.953311

Cumulative IA Energy_0 (Joules) = 4.890808
Cumulative IA Energy_0 (mWh) = 1.358558
Average IA Power_0 (Watt) = 4.698852

Cumulative DRAM Energy_0 (Joules) = 0.602661
Cumulative DRAM Energy_0 (mWh) = 0.167406
Average DRAM Power_0 (Watt) = 0.579008

Cumulative GT Energy_0 (Joules) = 0.024597
Cumulative GT Energy_0 (mWh) = 0.006833
Average GT Power_0 (Watt) = 0.023632
